Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3nbfNH566ap56cwEZPq7SG,"Ruang Rindu","Truth, Cry and Lie","Letto",2005-01-12,212880,71,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:38:20Z,"indonesian pop,malay,indonesian rock","Musica Studio's",0.64,0.503,2,-6.17,1,0.0252,0.632,0,0.119,0.418,82.953,4
spotify:track:1NNfSNBamcdUvcGoLdk4A1,"Sandaran Hati","Truth, Cry and Lie","Letto",2005-01-12,242694,63,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:38:32Z,"indonesian pop,malay,indonesian rock","Musica Studio's",0.613,0.544,7,-9.421,0,0.0329,0.607,0.0000582,0.0895,0.312,80.019,4
spotify:track:52vY3fQNyeFNZwQRwSRpn6,"Sampai Nanti, Sampai Mati","Truth, Cry and Lie","Letto",2005-01-12,185109,50,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:38:46Z,"indonesian pop,malay,indonesian rock","Musica Studio's",0.667,0.727,2,-6.167,1,0.0369,0.261,0.000103,0.117,0.684,80.993,4
spotify:track:4RNarEqttGwKqCXKVaaMmS,"Lubang Di Hati","Lethologica","Letto",2009-03-01,264428,53,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:38:57Z,"indonesian pop,malay,indonesian rock","Musica Studio's",0.527,0.592,4,-7.195,0,0.0267,0.32,0,0.137,0.373,87.991,4
spotify:track:0flFRGl5wlgv7oMVsQ7xpd,"Permintaan Hati","Don't Make Me Sad","Letto",2007-01-12,310404,61,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:40:13Z,"indonesian pop,malay,indonesian rock","Musica Studio's",0.489,0.745,11,-4.7,1,0.0324,0.0514,0,0.11,0.445,170.092,4
spotify:track:4d9a2guKiiqegbbsTu5EaF,"Putih","Lethologica","Letto",2009-03-01,280125,25,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:46:19Z,"indonesian pop,malay,indonesian rock","Musica Studio's",0.475,0.585,4,-7.151,1,0.0251,0.0732,0.00000437,0.118,0.225,170.195,4
spotify:track:0xBpUyL8GzcmBcX2lbGCgE,"Jangan Menyerah","Perjalanan","D’MASIV",2009-12-01,259506,56,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:47:39Z,"indonesian pop,malay,malaysian pop,indorock","Musica Studio's",0.56,0.64,0,-6.2,1,0.0272,0.332,0,0.294,0.404,97.037,4
spotify:track:3AAAGS7iM1ekDywqdYMJG2,"Akad","Ruang Tunggu","Payung Teduh",2017-12-19,258281,74,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:48:16Z,"indonesian indie,indonesian pop,indonesian jazz","Parara Records",0.502,0.708,9,-7.522,1,0.0771,0.316,0.0391,0.112,0.774,91.533,4
spotify:track:1k5vv2ood14aa5uBYWBlWh,"Resah","Dunia Batas","Payung Teduh",2012,240882,66,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:48:23Z,"indonesian indie,indonesian pop,indonesian jazz","Ivy League Music",0.415,0.286,1,-8.936,0,0.028,0.898,0.000735,0.108,0.36,136.095,4
spotify:track:7tZ69fC235bauF9Dyxk8Ps,"Berdua Saja","Dunia Batas","Payung Teduh",2012,267000,60,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:48:43Z,"indonesian indie,indonesian pop,indonesian jazz","Ivy League Music",0.379,0.28,2,-9.268,1,0.0342,0.597,0.000337,0.135,0.251,177.814,3
spotify:track:43LZAANFvlIKMgcU4QiYBx,"Angin Pujaan Hujan","Dunia Batas","Payung Teduh",2012,212250,63,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:48:58Z,"indonesian indie,indonesian pop,indonesian jazz","Ivy League Music",0.632,0.694,4,-6.649,1,0.0274,0.657,0.000121,0.101,0.679,97.906,4
spotify:track:42ieuRE6r1tSyxDYnLFLWz,"Untuk Perempuan Yang Sedang Dalam Pelukan (Live)","Live at Yamaha Live and Loud","Payung Teduh",2016-11-30,410180,59,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:49:09Z,"indonesian indie,indonesian pop,indonesian jazz","Payung Teduh",0.439,0.474,9,-11.021,1,0.0336,0.107,0.24,0.622,0.143,75.427,4
