Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1MDVXlgY8Of2n2otw57hw0,"Di Atas Meja","Ruang Tunggu","Payung Teduh",2017-12-19,329865,61,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:49:32Z,"indonesian indie,indonesian pop,indonesian jazz","Parara Records",0.581,0.443,5,-8.678,1,0.0357,0.83,0.00679,0.107,0.446,76.845,4
spotify:track:6ctfCjsLBJfadmBH41SFkl,"Menuju Senja","Dunia Batas","Payung Teduh",2012,306428,61,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:49:41Z,"indonesian indie,indonesian pop,indonesian jazz","Ivy League Music",0.446,0.564,11,-6.536,1,0.031,0.539,0.000344,0.117,0.253,98.08,4
spotify:track:1k8wWtaL30ncdF7Mrginys,"Rahasia","Dunia Batas","Payung Teduh",2012,416000,52,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:49:57Z,"indonesian indie,indonesian pop,indonesian jazz","Ivy League Music",0.385,0.375,0,-7.35,1,0.0301,0.865,0.000476,0.126,0.18,178.891,3
spotify:track:1bY47m60kn2XMY1wedPhEW,"Cerita Tentang Gunung Dan Laut (Live)","Live at Yamaha Live and Loud","Payung Teduh",2016-11-30,433209,48,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:50:37Z,"indonesian indie,indonesian pop,indonesian jazz","Payung Teduh",0.483,0.566,0,-7.597,1,0.0297,0.0657,0.000114,0.694,0.182,77.981,4
spotify:track:3y8RcMPYG22fRnrOi4oFJ1,"Nanti Kita Seperti Ini","Nanti Kita Seperti Ini","Batas Senja",2022-09-27,209647,82,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:52:13Z,"indonesian pop,indonesian indie,malay","Sintesa Pro",0.532,0.428,0,-7.256,1,0.0249,0.299,0.000333,0.0964,0.399,84.943,4
spotify:track:2TRGNVokPnC2a2oHg5iv1H,"Rumpang","Rumpang","Nadin Amizah",2018-09-14,323571,65,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:52:42Z,"indonesian indie,indonesian pop","Sorai",0.444,0.331,0,-9.904,1,0.0313,0.911,0.021,0.328,0.344,80.54,4
spotify:track:630DpnzdfjdVqv2yLfPbAX,"Bertaut","Selamat Ulang Tahun","Nadin Amizah",2020-05-28,315960,83,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:52:50Z,"indonesian indie,indonesian pop","Sorai",0.471,0.131,6,-13.29,1,0.0362,0.933,0.00245,0.109,0.115,118.846,3
spotify:track:3ymuBMTviroWLuf1jMsMVf,"Sorai","Sorai","Nadin Amizah",2019-01-01,278333,79,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:53:01Z,"indonesian indie,indonesian pop","Sorai",0.555,0.239,0,-12.445,1,0.0303,0.951,0.0029,0.16,0.164,143.585,4
spotify:track:13CwOTXUgBugeBByE9oIWb,"kota ini tak sama tanpamu","Nadhif (laman berikutnya)","Nadhif Basalamah",2025-06-20,279649,88,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:55:15Z,"malay,indonesian pop,indonesian r&b","After School",0.538,0.495,10,-7.182,1,0.0303,0.787,0.0000732,0.113,0.362,81.02,4
spotify:track:4rcuS31IcZynp91dqvmhmA,"Semua Aku Dirayakan","Untuk Dunia, Cinta, dan Kotornya","Nadin Amizah",2023-10-13,310625,76,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:57:12Z,"indonesian indie,indonesian pop","Sorai",0.319,0.322,4,-10.475,1,0.0313,0.959,0.000568,0.0947,0.212,80.492,4
spotify:track:0rLUj7vQq8PMkrKFM0Vd4H,"Cahaya Di Langit Itu","For You","Fatin",2013-11-11,283653,20,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T14:09:45Z,"indonesian pop","Sony Music Entertainment",0.303,0.213,4,-10.892,1,0.0326,0.695,0,0.183,0.151,127.487,4
spotify:track:0ladq2Y2KLksoxqWUzpB1G,"seperti takdir kita yang tulis","seperti takdir kita yang tulis","Nadin Amizah",2021-03-24,272640,59,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T14:10:06Z,"indonesian indie,indonesian pop","Sorai",0.577,0.33,8,-10.739,1,0.033,0.942,0.000605,0.119,0.195,140.103,4
spotify:track:6Dh1zHQjEaOp29VW9pp3xG,"Taruh","Selamat Ulang Tahun","Nadin Amizah",2020-05-28,249892,76,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T14:10:19Z,"indonesian indie,indonesian pop","Sorai",0.349,0.244,11,-13.163,1,0.0462,0.979,0.000909,0.0924,0.547,89.98,4
spotify:track:3FPlY1uqTe1oFfIgI0BnoA,"Beranjak Dewasa","Selamat Ulang Tahun","Nadin Amizah",2020-05-28,297617,74,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T14:10:50Z,"indonesian indie,indonesian pop","Sorai",0.56,0.331,0,-7.929,1,0.0287,0.454,0.00309,0.102,0.0781,115.094,4
