Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1qHddOZ7pwtmOsw0RmlKFx,"Takut","Takut","Idgitaf",2021-10-01,319700,72,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T14:11:55Z,"indonesian pop,indonesian indie","idgitaf musik",0.527,0.24,2,-8.828,1,0.0303,0.96,0.000199,0.0818,0.217,80.128,4
spotify:track:3KcfLN50nMGR4uH1T0QVxL,"Berakhir di Aku - Original Soundtrack From ""Home Sweet Loan""","Berakhir di Aku (Original Soundtrack From ""Home Sweet Loan"")","Idgitaf",2024-09-12,236784,74,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T14:12:19Z,"indonesian pop,indonesian indie","Idgitaf musik, Visinema Music",0.532,0.264,1,-9.578,1,0.0394,0.932,0.000711,0.0917,0.4,139.55,4
spotify:track:3d6BjQ0QOLTzuKoOQbeGgG,"Satu-Satu","Mengudara","Idgitaf",2023-07-28,285071,69,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T14:12:35Z,"indonesian pop,indonesian indie","idgitaf musik",0.378,0.517,4,-5.584,1,0.0639,0.652,0,0.0898,0.512,199.811,4
spotify:track:7eJvTUwpBP8ewtMnxcvSLz,"Terpikat Senyummu","Terpikat Senyummu","Idgitaf",2021-02-16,187013,64,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T14:12:44Z,"indonesian pop,indonesian indie","TikTok Pte. Ltd.",0.612,0.439,10,-7.895,1,0.0464,0.811,0,0.101,0.473,77.007,4
spotify:track:64bauCjHAIiDNkcHiOJW1r,"Sedia Aku Sebelum Hujan","Berusaha di Bawah Hujan","Idgitaf",2026-05-15,230130,72,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T14:12:57Z,"indonesian pop,indonesian indie","idgitaf musik",0.54,0.648,2,-4.719,1,0.0289,0.419,0.00137,0.246,0.612,143.998,4
spotify:track:3gjp6i4k2Lau3ztkRRlUTs,"North","North","Levai music;Presiden Tidore",2023-11-18,186666,43,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T14:13:46Z,"lagu timur,maluku,indonesian hip hop","Levai music",0.493,0.6,10,-7.987,1,0.259,0.177,0,0.11,0.304,179.663,4
